"STATION_ID;""SITE_NAME"";""ZDALY_GAS_BRAND"";""ADDRESS"";""CITY"";""STATE"";""ZIP"";""COUNTY_NAME"";""PRICING_ZONE"";""CLUSTER_MEDIAN_PRICE"";""CLIENT_MARKET_PRICE"";""LATITUDE"";""LONGITUDE"""
"1661;""6225 | (Cumbre (Blvd. Juan Pablo II y Pacheco))"";Petro 7;Prolongación Avenida Pacheco No. 1905;Chihuahua;Chihuahua;""31380"";ZM Chihuahua;""2_Chih_ua"";8.395;8.34;28.62343;-106.0295"
"10549;""6182 | (K.O.P. (Blvd. Jose Fuentes Mares))"";Petro 7;Boulevard J. Fuentes Mares No. 7808;Chihuahua;Chihuahua;""31080"";ZM Chihuahua;""2_Chih_ua"";8.395;8.45;28.62065;-106.0337"
"4937;""6224 | (Av. Tecnológico y Calle Cd Guerrero (Fitzmaurice II))"";Petro 7;Avenida Tecnológico No. 11708;Chihuahua;Chihuahua;""31107"";ZM Chihuahua;""9_Chih_ua"";8.45;8.37;28.69941;-106.1207"
"480;""6184 | (Universidad (Campo del Norte y Miguel El Grande))"";Petro 7;A. Campo del Norte No. 10145;Chihuahua;Chihuahua;""31124"";ZM Chihuahua;""9_Chih_ua"";8.45;8.45;28.70224;-106.1422"
"478;""6180 | (Mas (Av. De la Juventud))"";Petro 7;Periférico de La Juventud No. 9701;Chihuahua;Chihuahua;""31124"";ZM Chihuahua;""9_Chih_ua"";8.45;8.45;28.68869;-106.1335"
"615;""6109 | (Revolucion y Nonoalco)"";Petro 7;Avenida Revolución No. 775;Benito Juárez;Ciudad De México;""3700"";ZM Valle de México;""0_Ciud_co"";9.1;9.1;19.38079;-99.18764"
"537;""6163 | (Villada y Calle Ferrocarril Hidalgo)"";Petro 7;Avenida Vicente Villada Esquina Ferrocarril Hidalgo;Gustavo A. Madero;Ciudad De México;""7460"";ZM Valle de México;""1_Ciud_co"";8.92;8.92;19.47922;-99.10912"
"472;""6095 | (Eficiente y Calzada de San Lorenzo)"";Petro 7;Avenida San Lorenzo Tezonco No. 429;Iztapalapa;Ciudad De México;""9850"";ZM Valle de México;""2_Ciud_co"";8.75;8.75;19.3335;-99.07513"
"814;""6301 | (SAN ANTONIO)"";Petro 7;Km 23.5 Carretera Puerto de Flores S/N;Arteaga;Coahuila De Zaragoza;""25370"";ZM Saltillo;""4_Coah_za"";8.35;8.16;25.27493;-100.5909"
"436;""6092 | (Nueva Arteaga)"";Petro 7;Carretera México - Piedras Negras Km 13.5;Arteaga;Coahuila De Zaragoza;""25320"";ZM Saltillo;""4_Coah_za"";8.35;8.26;25.42695;-100.8062"
"434;""8962 | (Arteaga)"";Petro 7;Boulevard Los Fundadores No. 850;Arteaga;Coahuila De Zaragoza;""25000"";ZM Saltillo;""4_Coah_za"";8.35;8.37;25.44611;-100.846"
"13581;""6178 | (Carr. Libre-Monterrey)"";Petro 7;Libramiento Prof. Oscar Flores Tapia No. 2183;Arteaga;Coahuila De Zaragoza;""25354"";ZM Saltillo;""4_Coah_za"";8.35;8.42;25.45824;-100.8963"
"471;""6101 | (Lazaro Cardenas)"";Petro 7;Calzada Lázaro Cárdenas No. 511-A Y Rebollo Acosta;Gómez Palacio;Coahuila De Zaragoza;""35064"";ZM La Laguna;""10_Coah_za"";7.915;7.46;25.56364;-103.4788"
"23042;""6250 | Boulevard Carlos Herrera (Teletón)"";Petro 7;ERNESTO HERRERA ZAVALA;Gómez Palacio;Coahuila De Zaragoza;""35140"";ZM La Laguna;""10_Coah_za"";7.915;7.69;25.5763;-103.4715"
"528;""6097 | (Av. Ejercito Mexicano y Av. Del Consuelo)"";Petro 7;Boulevard Ejercito Mexicano No. 405;Gómez Palacio;Coahuila De Zaragoza;""35015"";ZM La Laguna;""10_Coah_za"";7.915;7.87;25.59509;-103.4854"
"622;""6139 | (Ipiranga I (Libramiento Periferico Torreón-Gomez Lerdo I))"";Petro 7;Periférico Torreón - Gómez - Lerdo Km 4.5;Gómez Palacio;Coahuila De Zaragoza;""35070"";ZM La Laguna;""10_Coah_za"";7.915;7.96;25.59786;-103.4968"
"543;""6140 | (Ipiranga II (Libramiento Periferico Torreón-Gomez Lerdo II))"";Petro 7;Periférico Torreón - Gómez-Lerdo Km 4.5;Gómez Palacio;Coahuila De Zaragoza;""35070"";ZM La Laguna;""10_Coah_za"";7.915;8.3;25.5994;-103.4968"
"438;""6089 | (Nazario Ortiz)"";Petro 7;Boulevard Manuel Acuña No. 500;Ramos Arizpe;Coahuila De Zaragoza;""25208"";ZM Saltillo;""11_Coah_za"";8.35;8.35;25.53754;-100.9463"
"496;""6145 | (Cañon Colorado)"";Petro 7;Carretera Saltillo- Monterrey Km 26;Ramos Arizpe;Coahuila De Zaragoza;""25900"";ZM Saltillo;""14_Coah_za"";8.9;8.84;25.61303;-100.8398"
"764;""6295 | (DERRAMADERO)"";Petro 7;Carretera Estatal a Gral. Cepeda No. 2731;Saltillo;Coahuila De Zaragoza;""25324"";ZM Saltillo;""12_Coah_za"";7.405;7.2;25.2563;-101.1169"
"525;""6087 | (La Encantada)"";Petro 7;Carretera a Zacatecas Km 18.5 S/N;Saltillo;Coahuila De Zaragoza;""25320"";ZM Saltillo;""12_Coah_za"";7.405;7.61;25.26543;-101.0904"
"604;""6085 | (Narro)"";Petro 7;Calzada Antonio Narro No. 3370;Saltillo;Coahuila De Zaragoza;""25085"";ZM Saltillo;""15_Coah_za"";8.125;7.29;25.38988122;-101.02057309"
"530;""6028 | (Corona y Abasolo)"";Petro 7;Mariano Abasolo No. 916;Saltillo;Coahuila De Zaragoza;""25000"";ZM Saltillo;""15_Coah_za"";8.125;7.42;25.424;-100.9894"
"559;""6088 | (Las Flores II)"";Petro 7;Periférico Luis Echeverría No. 2502;Saltillo;Coahuila De Zaragoza;""25069"";ZM Saltillo;""15_Coah_za"";8.125;7.62;25.38848;-100.9898"
"619;""6174 | (Colosio y Valdes Sanchez)"";Petro 7;Boulevard Jesús Valdés Sanchez No. 1541;Saltillo;Coahuila De Zaragoza;""25034"";ZM Saltillo;""15_Coah_za"";8.125;7.64;25.44151;-100.9274"
"527;""6090 | (Campestre)"";Petro 7;Autopista Saltillo - Monterrey No. 9140;Saltillo;Coahuila De Zaragoza;""25207"";ZM Saltillo;""15_Coah_za"";8.125;7.9;25.50189;-100.9627"
